Month,Date,UPI_Vol_Lakh,NEFT_Vol_Lakh,IMPS_Vol_Lakh,Cards_Vol_Lakh,UPI_Val_Cr,NEFT_Val_Cr,IMPS_Val_Cr,Cards_Val_Cr
Jan-2022,1-Jan-2022,46171.56,3629.03,4401.73,5151.05,831993,2442686,387007,147794
Feb-2022,1-Feb-2022,45274.89,3632.58,4209.31,4840.47,826843,2477059,384404,143111
Mar-2022,1-Mar-2022,54056.51,4314.2,4920.01,5512.7,960582,3492578,462279,171159
Apr-2022,1-Apr-2022,55843.88,3737.59,4716.26,2229.3,983573,2498587,444670,105459
May-2022,1-May-2022,59462.89,3813.34,4848.13,5693.68,1040221,2546928,452328,179494
Jun-2022,1-Jun-2022,58629.08,4022.33,4557.01,5370.07,1014413,2716013,443776,169643
Jul-2022,1-Jul-2022,62893.4,4018.39,4608.3,5481.8,1063117,2627354,444541,180371
Aug-2022,1-Aug-2022,65819.06,4166.76,4669.09,5481.3,1073162,2631639,445989,174516
Sep-2022,1-Sep-2022,67808,4332.45,4622.31,5352.43,1116438,2922913,454451,183298
Oct-2022,1-Oct-2022,73054.21,4570.48,4824.59,5516.4,1211588,2726827,466082,195998
Nov-2022,1-Nov-2022,73094.47,4388.3,4634.8,4956.02,1190593,2730878,454679,170388
Dec-2022,1-Dec-2022,78288.95,4854.81,4858.37,5223.57,1281971,2981681,486552,185150
Jan-2023,1-Jan-2023,80385.88,4798.31,4745.08,5103.61,1299059,2810180,477491,183460
Feb-2023,1-Feb-2023,75347.57,4675.61,4478.13,4588.51,1235847,2775972,468647,168378
Mar-2023,1-Mar-2023,86516.34,5469.06,4970.56,5016.79,1404951,3750569,546235,191035
Apr-2023,1-Apr-2023,88632.6,4825.37,4957.93,4887.94,1415505,2761038,521050,187396
May-2023,1-May-2023,94151.85,4896.66,5015.49,4974.51,1489145,3026331,527558,193436
Jun-2023,1-Jun-2023,93350.61,5097.12,4681.02,4731.29,1475464,3039491,500482,188284
Jul-2023,1-Jul-2023,99642.56,5476.79,4897.1,4882.21,1533536,3049364,512312,198421
Aug-2023,1-Aug-2023,105860.16,5651.92,4891.65,4981.72,1576537,3134602,514280,201282
Sep-2023,1-Sep-2023,105556.87,5598.05,4728.97,4578.47,1579133,3126190,507497,189186
Oct-2023,1-Oct-2023,114087.9,6314.53,4928.8,5104.71,1715768,3262015,538239,230670
Nov-2023,1-Nov-2023,112352.92,6394.01,4723.84,4742.56,1739741,3208491,535002,210038
Dec-2023,1-Dec-2023,120202.26,6673.93,4987.93,4983.15,1822949,3368836,570126,213054
Jan-2024,1-Jan-2024,122030.18,6882.78,5087.92,4934.19,1841084,3367322,566310,211931
Feb-2024,1-Feb-2024,121026.73,6889.23,5346.35,4634.92,1827869,3471495,568092,190658
Mar-2024,1-Mar-2024,134400.04,7939.1,5806.36,5034.13,1978353,4320840,634706,209208
Apr-2024,1-Apr-2024,133039.94,7040.03,5503.65,4960.12,1964464.52,3130549.49,592278.85,200409.47
May-2024,1-May-2024,140358.43,7467.75,5576.99,5105.17,2044937,3457995,606167,208520
Jun-2024,1-Jun-2024,138851.42,7307.34,5167.51,5003.43,2007081,3331461,577794,200081
Jul-2024,1-Jul-2024,144355.54,8006.14,4902.84,5294.35,2064292,3662264,593177,217435
Aug-2024,1-Aug-2024,149630.47,7983.23,4533.37,5322.94,2060736,3590588,577888,211726
Sep-2024,1-Sep-2024,150417.47,7908.83,4299.36,5275.26,2063995,3597885,565233,216304
Oct-2024,1-Oct-2024,165849.66,9183.38,4668.23,5759.31,2349821,4152428,629382,248619
Nov-2024,1-Nov-2024,154820.21,7769.51,4079.18,5167.93,2155187,3380884,558328,208308
Dec-2024,1-Dec-2024,167300.09,8307.02,4411.64,5608.59,2324700,3814966,601549,228548
Jan-2025,1-Jan-2025,169960.01,8567.93,4442.23,5522.42,2348037,3848033,606420,223090
Feb-2025,1-Feb-2025,161061.93,7647.93,4048.29,5052.09,2196482,3540103,563082,201522
Mar-2025,1-Mar-2025,183015.08,9008.97,4616.39,5789.52,2477222,4854308,667813,240549
Apr-2025,1-Apr-2025,178934.24,7687.52,4492.53,5673.64,2394926,3897348,621666,222351
May-2025,1-May-2025,186774.6,8215.47,4636.6,5827.4,2514297,3793103,640867,226810
Jun-2025,1-Jun-2025,183950.06,7920.52,4481.05,5672.82,2403931,3764742,606356,218552
Jul-2025,1-Jul-2025,194679.48,8500.14,4821.9,5982.42,2508498,3993960,631411,231987
Aug-2025,1-Aug-2025,200083.1,8288.6,4772.62,6055.24,2485473,3785260,597549,228565
Sep-2025,1-Sep-2025,196334.33,8403.21,3943.79,5999.8,2489737,4265310,596847,253483
Oct-2025,1-Oct-2025,207009.21,8790.97,4035.88,6279.14,2727791,4273608,641964,256373
Nov-2025,1-Nov-2025,204669.79,8175.04,3689.31,6041.95,2631633,3834099,615177,222942
Dec-2025,1-Dec-2025,216346.68,8777.58,3799.33,6447.58,2796713,4376909,662452,241961
