Month,Date,No. of Banks live on UPI,UPI_Volume_Mn,UPI_Value_Cr,Avg_Ticket_Size_Rs
January-2022,2022-01-01,297,4617.15,831993.11,180.1962488
February-2022,2022-02-01,304,4527.49,826843,182.6272394
March-2022,2022-03-01,314,5405.65,960581.66,177.6995662
April-2022,2022-04-01,316,5583.05,983302.27,176.122777
May-2022,2022-05-01,323,5955.2,1041520.07,174.8925427
June-2022,2022-06-01,330,5862.75,1014384.31,173.0219283
July-2022,2022-07-01,338,6288.4,1062991.76,169.0400992
August-2022,2022-08-01,346,6579.63,1072792.68,163.0475695
September-2022,2022-09-01,358,6780.8,1116438.1,164.6469591
October-2022,2022-10-01,365,7305.42,1211582.51,165.8470711
November-2022,2022-11-01,376,7309.45,1190593.39,162.8841281
December-2022,2022-12-01,382,7829.49,1282055.01,163.7469375
January-2023,2023-01-01,385,8036.89,1298726.62,161.5956695
February-2023,2023-02-01,390,7534.76,1235846.62,164.0193742
March-2023,2023-03-01,399,8685.3,1410443.01,162.3942765
April-2023,2023-04-01,414,8863.26,1415504.71,159.7047486
May-2023,2023-05-01,445,9415.19,1489145.44,158.1641411
June-2023,2023-06-01,458,9335.06,1475464.26,158.056216
July-2023,2023-07-01,473,9964.61,1533536.44,153.89829
August-2023,2023-08-01,484,10586.02,1576536.56,148.9262782
September-2023,2023-09-01,492,10555.69,1579133.18,149.6001853
October-2023,2023-10-01,505,11408.79,1715768.34,150.3900361
November-2023,2023-11-01,516,11235.29,1739740.61,154.8460796
December-2023,2023-12-01,522,12020.23,1822949.42,151.6567836
January-2024,2024-01-01,550,12203.02,1841083.97,150.8711753
February-2024,2024-02-01,560,12102.67,1827869.35,151.0302561
March-2024,2024-03-01,572,13440,1978353.23,147.198901
April-2024,2024-04-01,583,13303.99,1964464.52,147.6598013
May-2024,2024-05-01,598,14035.84,2044937.05,145.6939556
June-2024,2024-06-01,602,13885.14,2007081.2,144.548863
July-2024,2024-07-01,605,14435.55,2064292.41,143.0006068
August-2024,2024-08-01,608,14963.05,2060735.57,137.7216256
September-2024,2024-09-01,622,15041.75,2063994.71,137.2177247
October-2024,2024-10-01,632,16584.97,2349821.46,141.6837932
November-2024,2024-11-01,637,15482.02,2155187.4,139.2058271
December-2024,2024-12-01,641,16730.01,2324699.91,138.9538865
January-2025,2025-01-01,647,16996,2348037.12,138.152337
February-2025,2025-02-01,653,16106.19,2196481.69,136.3750018
March-2025,2025-03-01,661,18301.51,2477221.61,135.3561324
